City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Kudahuvadhoo,MV,83.57,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
165,Pochutla,MX,81.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
168,Puerto Ayacucho,VE,76.32,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
170,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
171,Faanui,PF,81.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Tura,IN,80.08,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
174,Kirakira,SB,84.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
175,Arraial Do Cabo,BR,70.41,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
178,Hobyo,SO,80.65,clear sky,5.3505,48.5268,Iftin hotel hobyo
179,Avera,US,76.51,broken clouds,33.194,-82.5271,
180,Sao Felix Do Xingu,BR,72.41,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
181,Lagos,NG,78.48,overcast clouds,6.5833,3.75,
183,Inirida,CO,73.53,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
185,Jalu,LY,75.65,clear sky,29.0331,21.5482,صاحبة الفخامة
192,Borba,BR,74.25,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
198,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
202,Aracati,BR,78.62,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
205,Batie,BF,78.3,scattered clouds,9.8833,-2.9167,Auberge SONDAR AFACI
209,Caravelas,BR,72.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
210,Macapa,BR,80.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
211,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
212,Kulhudhuffushi,MV,82.15,moderate rain,6.6221,73.07,Haajy Guest House 1
215,Chulym,RU,76.08,broken clouds,55.0997,80.9572,"""U Tat'yany"""
217,Sao Jose Da Coroa Grande,BR,77.65,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
219,Kouqian,CN,72.97,broken clouds,43.6391,126.4578,Guotai Bathing Hotel
222,Meadow Lake,US,81.88,clear sky,34.8014,-106.5436,TumbleWeed RV Park
223,Bengkulu,ID,84.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
226,Kavieng,PG,84.54,clear sky,-2.5744,150.7967,Nusa Island Retreat
229,Mbandaka,CD,71.17,overcast clouds,0.0487,18.2603,Guest House Epervier
232,Laguna,US,73.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
237,Bayonet Point,US,78.03,clear sky,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
240,Qandala,SO,87.78,scattered clouds,11.472,49.8728,
243,Mapastepec,MX,80.22,overcast clouds,15.4333,-92.9,Hotel San Carlos
245,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
250,Alyangula,AU,84.63,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
251,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
252,Lorengau,PG,85.3,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
255,Makakilo City,US,77.68,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
256,Taunggyi,MM,82.33,overcast clouds,20.7833,97.0333,True Treasure Hotel
257,Aneho,TG,82.6,broken clouds,6.2333,1.6,Hotel La Linette
261,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
262,Kollegal,IN,77.34,overcast clouds,12.15,77.1167,MK Restaurant
264,Wichita Falls,US,78.26,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
