City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,East London,ZA,-33.0153,27.9116,70.74,46,0,12.66,clear sky
144,Bethel,US,41.3712,-73.414,62.96,84,75,8.05,broken clouds
145,Kungurtug,RU,50.5994,97.5228,62.53,44,100,1.88,overcast clouds
146,Morgan City,US,29.6994,-91.2068,77.0,94,0,4.61,clear sky
147,Aksehir,TR,38.3575,31.4164,55.62,81,33,2.33,scattered clouds
148,Sitka,US,57.0531,-135.33,48.09,66,100,13.8,overcast clouds
149,Kampot,KH,10.6167,104.1833,87.85,70,91,4.61,overcast clouds
150,Mizan Teferi,ET,6.9833,35.5833,61.66,97,100,3.29,light rain
151,Atuona,PF,-9.8,-139.0333,78.78,70,1,16.64,clear sky
152,Cockburn Town,TC,21.4612,-71.1419,79.09,86,99,22.26,overcast clouds
153,Bubaque,GW,11.2833,-15.8333,79.05,86,85,10.07,overcast clouds
154,Fortuna,US,40.5982,-124.1573,53.94,77,49,4.0,scattered clouds
155,Tabory,RU,58.5198,64.5495,60.64,62,94,2.42,overcast clouds
156,Kaitangata,NZ,-46.2817,169.8464,54.34,71,100,5.91,overcast clouds
157,Kawalu,ID,-7.3817,108.2082,86.27,61,48,4.0,scattered clouds
158,Blagoyevo,RU,63.3667,47.9167,37.92,83,100,8.79,overcast clouds
159,Iquitos,PE,-3.7481,-73.2472,77.04,100,75,2.3,broken clouds
160,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,82,20,19.91,few clouds
161,Alofi,NU,-19.0595,-169.9187,78.69,69,75,14.97,light intensity drizzle
162,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,20.71,scattered clouds
163,Batemans Bay,AU,-35.7167,150.1833,62.1,40,0,4.99,clear sky
164,Kudahuvadhoo,MV,2.6708,72.8944,83.57,79,100,21.0,overcast clouds
165,Pochutla,MX,15.7432,-96.4661,81.82,66,11,4.76,few clouds
166,Waipawa,NZ,-41.4122,175.5153,62.83,74,100,14.18,heavy intensity rain
167,Butembo,CD,0.15,29.2833,59.67,86,98,2.21,overcast clouds
168,Puerto Ayacucho,VE,5.6639,-67.6236,76.32,92,100,2.51,overcast clouds
169,Tighnabruaich,GB,55.9016,-5.2398,47.89,94,96,9.71,overcast clouds
170,Progreso,MX,21.2833,-89.6667,79.11,80,0,9.75,clear sky
171,Faanui,PF,-16.4833,-151.75,81.91,70,48,13.85,scattered clouds
172,Winnemucca,US,40.973,-117.7357,69.85,19,0,3.44,clear sky
173,Tura,IN,25.5198,90.2201,80.08,83,85,7.87,overcast clouds
174,Kirakira,SB,-10.4544,161.9205,84.43,70,89,3.69,overcast clouds
175,Arraial Do Cabo,BR,-22.9661,-42.0278,70.41,85,100,6.44,overcast clouds
176,Bantry,IE,51.6833,-9.45,56.79,87,59,18.07,broken clouds
177,Clyde River,CA,70.4692,-68.5914,21.43,93,100,10.36,overcast clouds
178,Hobyo,SO,5.3505,48.5268,80.65,77,4,22.37,clear sky
179,Avera,US,33.194,-82.5271,76.51,67,54,4.88,broken clouds
180,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.41,97,98,1.03,overcast clouds
181,Lagos,NG,6.5833,3.75,78.48,94,100,4.81,overcast clouds
182,Luderitz,NA,-26.6481,15.1594,74.62,27,0,18.03,clear sky
183,Inirida,CO,3.8653,-67.9239,73.53,99,100,1.25,overcast clouds
184,Prosvet,RU,55.5703,65.0825,53.2,74,100,12.71,overcast clouds
185,Jalu,LY,29.0331,21.5482,75.65,31,0,5.77,clear sky
186,Pangody,RU,65.85,74.4859,56.44,60,93,6.71,light rain
187,Vardo,NO,70.3705,31.1107,33.78,80,100,12.66,overcast clouds
188,Torbay,CA,47.6666,-52.7314,39.27,90,40,5.75,scattered clouds
189,Tashla,RU,51.7716,52.7427,52.56,79,12,13.29,few clouds
190,Lesnoy,RU,57.6198,63.0784,57.52,65,100,5.95,overcast clouds
191,Sereflikochisar,TR,38.9393,33.5386,58.33,70,97,4.65,overcast clouds
192,Borba,BR,-4.3878,-59.5939,74.25,99,100,0.4,moderate rain
193,Codrington,AU,-38.2667,141.9667,58.75,54,67,18.54,broken clouds
194,Chara,RU,56.9064,118.2631,48.79,52,22,2.46,few clouds
195,Saint George,US,37.1041,-113.5841,90.19,13,0,9.22,clear sky
196,Chokurdakh,RU,70.6333,147.9167,30.92,92,93,4.27,overcast clouds
